Burkina Faso	5417	17.886155660688214
Rotten Tomatoes	5695	17.508726134483346
Kuala Lumpur	6441	17.475782520236123
Tel Aviv	9106	16.908730375511283
Baton Rouge	5587	16.850288577773448
Figure Skating	5518	16.441187820961588
Lok Sabha	7429	16.43407374784956
Notre Dame	13516	16.11460431428328
Buenos Aires	20595	16.053463365382026
gastropod mollusk	19335	15.925806161734014
Costa Rica	11014	15.856635442680027
Barack Obama	9742	15.844319690653439
vice versa	5205	15.669730290287852
hip hop	15727	15.635748139006662
Uttar Pradesh	7833	15.63525141186014
main-belt asteroid	10551	15.620052591863113
Theological Seminary	6131	15.616131477256392
Saudi Arabia	14887	15.594538144483181
sq mi	8492	15.580536694647302
São Paulo	13832	15.53180528519337
Andhra Pradesh	10078	15.456151962994817
Sierra Leone	8337	15.431328370153201
Rolling Stones	5868	15.428883742247782
Xbox 360	6628	15.423373591952991
Johns Hopkins	6154	15.387550935079751
Nova Scotia	22607	15.290052498580227
Kitt Peak	18427	15.212819549080802
Motion Picture	5728	15.195132885624194
Greatest Hits	5310	15.185032424660342
Las Vegas	26352	15.073747086569492
Tamil Nadu	15853	15.063525354061857
Ronald Reagan	6466	15.004778642505006
Rear Admiral	6005	14.987685202398474
Stock Exchange	9571	14.983359294820062
carbon dioxide	7355	14.963209297188138
fn org	45050	14.938325852267686
critically acclaimed	7579	14.861433316471519
Warner Bros.	10694	14.859321642906021
Mac OS	8460	14.82531316722844
Puerto Rico	30102	14.780460652531437
Entry Draft	5672	14.734634574283046
Puerto Rican	8967	14.673334535970376
Sri Lankan	6871	14.664352409136546
et al.	22775	14.64898964428262
Sri Lanka	29620	14.625809420202822
Adolf Hitler	6269	14.608469136454401
marine gastropod	16734	14.590107031939569
NHL Entry	5423	14.562955923434462
Masovian Voivodeship	8660	14.558182034279378
Walt Disney	10512	14.555984454395263
Pearl Harbor	14718	14.53379208561032
Singles Chart	14921	14.513837180782398
Le Mans	7514	14.488444890672058
stained glass	6309	14.454656410130106
Armed Forces	13016	14.45231102218031
Arab Emirates	6417	14.44295888690866
racial makeup	37251	14.43560809029445
Pomeranian Voivodeship	7471	14.359111240336409
Historic Places	29496	14.246043165466553
Rio Grande	7595	14.154533098258241
Eurovision Song	8871	14.071459735741858
Hong Kong	67506	14.069953415044552
Anderson Mesa	12879	13.960859240446414
Beverly Hills	5281	13.910240655540424
Rolling Stone	10144	13.898840991987008
Song Contest	9253	13.877332322364401
Santa Fe	11022	13.872472328834442
larvae feed	5049	13.869511611562777
El Paso	5513	13.834151063886319
Sacred Heart	5045	13.827005540142277
Human Rights	17790	13.782730618134321
Star Trek	13980	13.757623216342768
Pope Pius	6186	13.717633912647841
Bronze Age	6319	13.669996427945847
soap opera	11631	13.66529691746744
Middle Ages	17775	13.66241593092298
PGA Tour	5546	13.656702044195079
Symphony Orchestra	14172	13.630643535693315
Tag Team	8744	13.593929203703286
Census Bureau	27072	13.572891987005468
Progressive Conservative	8986	13.551108024305904
tourist attraction	5339	13.531531890360766
Associated Press	7261	13.529108949873285
Marvel Comics	7886	13.528435837314193
Sabha constituency	5065	13.52049134843388
Statistical Area	5368	13.494678619392994
Nobel Prize	7182	13.485254551459741
Final Fantasy	7198	13.345702732945465
martial arts	13714	13.32926815197493
swimming pool	8012	13.327119562708498
Pacific Islander	16258	13.326211911446542
El Salvador	7790	13.225068277703452
breast cancer	5895	13.22282702227889
Performing Arts	8540	13.187712536650173
critical acclaim	7453	13.18028473714703
east-central Poland	8468	13.177768569555072
shopping mall	5074	13.173713645983964
joint venture	9644	13.149612779888514
Panama Canal	5330	13.138417484080762
Los Angeles	134207	13.129594846681384
NFL Draft	12242	13.12866576297757
female householder	37252	13.109420745010992
Santa Cruz	9841	13.108067389055552
Legislative Assembly	19229	13.086238512809357
Summer Olympics	50573	13.044751543084534
Santa Monica	5767	13.039545378506151
Grand Prix	32534	13.03779386949092
Harry Potter	5070	13.031726824962835
ice hockey	26856	13.025162617141463
west-central Poland	5602	13.022644928681169
OS X	5848	12.98667240626907
DC Comics	7539	12.97361750482751
prime minister	14345	12.933441075133846
La Salle	5309	12.925540724216118
sea snail	16259	12.925136854274136
Fort Worth	5801	12.901020419421114
Task Force	11421	12.899296263390678
Santa Clara	5121	12.878967997639313
ice cream	5649	12.857572663588634
Abraham Lincoln	6015	12.851656441944371
Southeast Asia	9423	12.84772102584635
Golden Globe	5152	12.832529716341707
Prime Minister	64629	12.792786549022876
Grand Slam	5543	12.792374656816708
Foreign Affairs	11463	12.787776369783113
All-Star Game	6312	12.756823404974208
committed suicide	8816	12.752828779242824
families residing	36565	12.750032727062417
La Silla	6049	12.745983378035389
median income	106184	12.745194958814343
Rhode Island	19959	12.74439240319688
backing vocals	5638	12.729872377288665
Fine Arts	15134	12.72983298823428
Palm Beach	5147	12.72852736437916
Shortly thereafter	5258	12.685321398142452
Bob Dylan	5277	12.671072396765346
capita income	31974	12.67021925076693
Billboard Hot	17663	12.614305297580216
bronze medal	15873	12.606238100009067
flowering plant	8222	12.588116069729463
Doctor Who	10767	12.56339564366518
Supreme Court	56347	12.547902064695451
Persian Gulf	6714	12.547194099978837
parking lot	6743	12.544639772619647
rugby union	16163	12.537023263858384
Martin Luther	6357	12.519674130897982
asteroid discovered	10517	12.519538812818203
Microsoft Windows	6627	12.517613837377255
Science Fiction	5892	12.504484077008902
Our Lady	10225	12.496925819949315
nautical miles	6509	12.484611792730705
Higher Education	9004	12.464943125984927
mobile phone	6835	12.46163715425465
Jesus Christ	13500	12.45774800730509
